,PC1,PC2,PC3,PC4
Cheese,-0.056980318,-0.016031829,-0.023876737,-0.753247168
Carcass.meat,0.047945144,-0.01390392,-0.063832188,-0.594235414
Other.meat,-0.258985421,0.015274744,0.555028061,0.048837051
Fish,-0.084462211,0.050727984,-0.038998004,-0.014216022
Fats...Oils,-0.005198008,0.095394084,0.125369165,-0.109421157
Sugars,-0.03764021,0.043012328,0.036153391,-0.076783253
Fresh.potatoes,0.401500512,0.715163108,0.206054343,0.076659721
Fresh.Veg,-0.151954283,0.144846578,-0.213918283,0.035360138
Other.Veg,-0.243726449,0.225381609,0.053721133,-0.020049613
Processed.potatoes,-0.026886056,-0.042856713,0.073809414,-0.067105915
Processed.Veg,-0.036514892,0.045439025,-0.052920805,-0.023465276
Fresh.fruit,-0.632976884,0.177530494,-0.399703519,0.073075006
Cereals,-0.04772173,0.212603974,0.35934468,-0.186620898
Beverages,-0.026199838,0.030554725,0.041447482,-0.041777011
Soft.drinks,0.232434917,-0.555054833,0.169475114,0.057371782
Alcoholic.drinks,-0.464114558,-0.113661183,0.500068825,0.035498565
